benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-cpu-bsearch,0.225014,issdm-3,quota-1000,cpu,False,1,1.78183,7.91875172212
stressng-cpu-bsearch,0.225014,rackform1,quota-1001,cpu,False,1,1.470349,6.53447785471
stressng-cpu-bsearch,0.225014,issdm-3,without,cpu,False,1,172.72636,767.624947781
stressng-cpu-bsearch,0.225014,rackform1,without,cpu,False,1,341.416866,1517.31388269
stressng-cpu-cpu,0.030279,issdm-3,quota-1000,cpu,False,1,0.074056,2.4457875095
stressng-cpu-cpu,0.030279,rackform1,quota-1001,cpu,False,1,0.056813,1.87631691932
stressng-cpu-cpu,0.030279,issdm-3,without,cpu,False,1,73.083918,2413.68334489
stressng-cpu-cpu,0.030279,rackform1,without,cpu,False,1,161.22083,5324.50972621
stressng-cpu-crypt,0.127898,issdm-3,quota-1000,cpu,False,1,0.701667,5.48614520946
stressng-cpu-crypt,0.127898,rackform1,quota-1001,cpu,False,1,0.521601,4.07825767408
stressng-cpu-crypt,0.127898,issdm-3,without,cpu,False,1,72.500443,566.861428638
stressng-cpu-crypt,0.127898,rackform1,without,cpu,False,1,118.932315,929.899724781
stressng-cpu-hsearch,1.166761,issdm-3,quota-1000,cpu,False,1,11.372461,9.74703559684
stressng-cpu-hsearch,1.166761,rackform1,quota-1001,cpu,False,1,11.06897,9.48692148606
stressng-cpu-hsearch,1.166761,issdm-3,without,cpu,False,1,1247.451733,1069.15789352
stressng-cpu-hsearch,1.166761,rackform1,without,cpu,False,1,2823.038973,2419.55205308
stressng-cpu-longjmp,60.949848,issdm-3,quota-1000,cpu,False,1,477.858214,7.84018713221
stressng-cpu-longjmp,60.949848,rackform1,quota-1001,cpu,False,1,354.636564,5.81849792308
stressng-cpu-longjmp,60.949848,issdm-3,without,cpu,False,1,48871.585272,801.832767032
stressng-cpu-longjmp,60.949848,rackform1,without,cpu,False,1,82287.533551,1350.08595183
stressng-cpu-lsearch,0.032508,issdm-3,quota-1000,cpu,False,1,0.098042,3.01593453919
stressng-cpu-lsearch,0.032508,rackform1,quota-1001,cpu,False,1,0.100002,3.07622739018
stressng-cpu-lsearch,0.032508,issdm-3,without,cpu,False,1,4.301079,132.308324105
stressng-cpu-lsearch,0.032508,rackform1,without,cpu,False,1,5.700907,175.369355236
stressng-cpu-str,5.709675,issdm-3,quota-1000,cpu,False,1,76.472942,13.3935717882
stressng-cpu-str,5.709675,rackform1,quota-1001,cpu,False,1,87.562712,15.3358487129
stressng-cpu-str,5.709675,issdm-3,without,cpu,False,1,7782.287533,1363.00008897
stressng-cpu-str,5.709675,rackform1,without,cpu,False,1,21734.959736,3806.68947637
stressng-cpu-stream,0.030835,issdm-3,quota-1000,cpu,False,1,0.336084,10.8994324631
stressng-cpu-stream,0.030835,rackform1,quota-1001,cpu,False,1,0.017544,0.568963839792
stressng-cpu-stream,0.030835,issdm-3,without,cpu,False,1,61.971289,2009.77100697
stressng-cpu-stream,0.030835,rackform1,without,cpu,False,1,19.861719,644.129041673
stressng-cpu-tsearch,0.032231,issdm-3,quota-1000,cpu,False,1,0.078119,2.42372250318
stressng-cpu-tsearch,0.032231,rackform1,quota-1001,cpu,False,1,0.065365,2.02801650585
stressng-cpu-tsearch,0.032231,issdm-3,without,cpu,False,1,7.047919,218.668952251
stressng-cpu-tsearch,0.032231,rackform1,without,cpu,False,1,13.943158,432.600850113
stressng-cpu-vecmath,6.192213,issdm-3,quota-1000,cpu,False,1,57.942136,9.35725822093
stressng-cpu-vecmath,6.192213,rackform1,quota-1001,cpu,False,1,88.267373,14.2545763526
stressng-cpu-vecmath,6.192213,issdm-3,without,cpu,False,1,5910.320919,954.476359098
stressng-cpu-vecmath,6.192213,rackform1,without,cpu,False,1,21257.224527,3432.89620803
stressng-cpu-wcs,4.827384,issdm-3,quota-1000,cpu,False,1,46.765825,9.68761237971
stressng-cpu-wcs,4.827384,rackform1,quota-1001,cpu,False,1,36.080267,7.47408265015
stressng-cpu-wcs,4.827384,issdm-3,without,cpu,False,1,4761.56567,986.365631986
stressng-cpu-wcs,4.827384,rackform1,without,cpu,False,1,8492.561011,1759.2470396
